"name","acronym","link","cfpLink","impLink","source","rank","rating","fieldOfResearch","information","conferenceDates","year","location","cityStateProvince","country","continent","type","submissionDate","notificationDate","cameraReadyDate","registrationDate","otherDate","topics","publisher","summary","callForPapers"
"Asia and South Pacific Design Automation Conference","ASPDAC","https://www.aspdac.com/aspdac2025/","https://www.aspdac.com/aspdac2025/cfp/","https://www.aspdac.com/aspdac2025/cfp/","","","","","Conference dates: January 20 - 23, 2025
Year: 2025
Location: Tokyo Odaiba Miraikan, Japan
City-State-Province: Tokyo
Country: Japan
Continent: Asia
Type: Offline
Deadline for Abstract submission: July 5, 2024
Deadline for PDF uploading: July 12, 2024
Announcement of accepted manuscript IDs: September 2, 2024
Notification of acceptance: September 8, 2024
Deadline for final version: November 1, 2024
Banquet Date: January 22, 2025
GC Reception Date: January 20, 2025
Registration Desk opening hour: January 20-23, 2025
Tutorials materials available until: January 24, 2025
Proceedings available from: January 20, 2025
Proposals for panels, special sessions and tutorials due: September 9, 2024
Topics: VLSI design automation, Electronic Design Automation (EDA), System-Level Modeling and Design Methodology, Embedded Systems, Cyberphysical Systems, IoT Systems, Software, Memory Architecture, Near/In Memory Computing, Tools and Design Methods with and for Artificial Intelligence (AI), Hardware Systems and Architectures for AI, Photonic/RF/Analog-Mixed Signal Design, Approximate Computing, Bio-Inspired Computing, Neuromorphic Computing, High-Level Synthesis, Behavioral Synthesis, Logic Synthesis, Optimization, Physical Design, Timing Analysis, Design for Manufacturability, Reliability, Low Power, Testing, Validation, Simulation, Verification, Hardware and Embedded Security, Emerging Devices, Technologies and Applications","January 20 - 23, 2025","2025","Tokyo Odaiba Miraikan, Japan","Tokyo","Japan","Asia","Offline","{""Deadline for Abstract submission"":""July 5, 2024"",""Deadline for PDF uploading"":""July 12, 2024""}","{""Announcement of accepted manuscript IDs"":""September 2, 2024"",""Notification of acceptance"":""September 8, 2024""}","{""Deadline for final version"":""November 1, 2024""}","{}","{""Banquet Date"":""January 22, 2025"",""GC Reception Date"":""January 20, 2025"",""Registration Desk opening hour"":""January 20-23, 2025"",""Tutorials materials available until"":""January 24, 2025"",""Proceedings available from"":""January 20, 2025"",""Proposals for panels, special sessions and tutorials due"":""September 9, 2024""}","VLSI design automation, Electronic Design Automation (EDA), System-Level Modeling and Design Methodology, Embedded Systems, Cyberphysical Systems, IoT Systems, Software, Memory Architecture, Near/In Memory Computing, Tools and Design Methods with and for Artificial Intelligence (AI), Hardware Systems and Architectures for AI, Photonic/RF/Analog-Mixed Signal Design, Approximate Computing, Bio-Inspired Computing, Neuromorphic Computing, High-Level Synthesis, Behavioral Synthesis, Logic Synthesis, Optimization, Physical Design, Timing Analysis, Design for Manufacturability, Reliability, Low Power, Testing, Validation, Simulation, Verification, Hardware and Embedded Security, Emerging Devices, Technologies and Applications","","The 30th Asia and South Pacific Design Automation Conference (ASP-DAC 2025) will be held from January 20-23, 2025, at the Tokyo Odaiba Miraikan in Japan.  ASP-DAC is the largest conference in Asia and South Pacific regions on Electronic Design Automation (EDA) for VLSI and systems.","# ASP-DAC 2025: Call for Papers

ASP-DAC 2025 is the 30th annual international conference on VLSI design automation in Asia and South Pacific regions.

## Aims of the Conference

ASP-DAC 2025 aims at providing the Asian and South Pacific CAD/DA and Design community with opportunities of presenting recent advances and with forums for future directions in technologies related to design and Electronic Design Automation (EDA). The format of the meeting intends to cultivate and promote an instructive and productive interchange of ideas among EDA researchers/developers and system/circuit/device designers.

## Areas of Interest

Original papers are invited in the following areas:

**1. System-Level Modeling and Design Methodology:**

*   HW/SW co-design, co-simulation and co-verification
*   System-level design exploration, synthesis, and optimization
*   System-level formal verification
*   System-level modeling, simulation and validation
*   Networks-on-chip and NoC-based system design

**2. Embedded, Cyberphysical (CPS), IoT Systems, and Software:**

*   Many- and multi-core SoC architecture
*   IP/platform-based SoC design
*   Dependable architecture
*   Cyber physical system and Internet of Things
*   Kernel, middleware, and virtual machine
*   Compiler and toolchain
*   Real-time system
*   Resource allocation for heterogeneous computing platform
*   Storage software and application
*   Human-computer interface

**3. Memory Architecture and Near/In Memory Computing:**

*   Storage system and memory architecture
*   On-chip memory architectures and management
*   Memory/storage hierarchies and management for emerging memory technologies
*   Near-memory and in-memory computing

**4. Tools and Design Methods with and for Artificial Intelligence (AI):**

*   Design method for learning on a chip
*   Deep neural network for EDA
*   Large language model (LLM) for circuit design and EDA
*   Tools and design methodologies for edge AI and TinyML
*   Efficient ML training and inference

**5. Hardware Systems and Architectures for AI:**

*   Hardware, device, architecture, and system-level design for deep neural networks
*   Hardware acceleration for large language model
*   Neural network acceleration co-design techniques
*   Novel reconfigurable architectures, including FPGAs for AI/MLs

**6. Photonic/RF/Analog-Mixed Signal Design:**

*   Analog/mixed-signal/RF synthesis
*   Analog layout, verification, and simulation techniques
*   High-frequency electromagnetic simulation of circuit
*   Mixed-signal design consideration
*   Communication and computing using photonics

**7. Approximate, Bio-Inspired and Neuromorphic Computing:**

*   Circuit and system techniques for approximate, hyper-dimensional, and stochastic computing
*   Neuromorphic computing
*   CAD for approximate and stochastic systems
*   CAD for bio-inspired and neuromorphic systems

**8. High-Level, Behavioral, and Logic Synthesis and Optimization:**

*   High-level/Behavioral synthesis tool and methodology
*   Combinational, sequential, and asynchronous logic synthesis
*   Synthesis for deep neural networks
*   Technology mapping, resource scheduling, allocation and synthesis
*   Functional, logic, and timing ECO (engineering change order)
*   Interaction between logic synthesis and physical design

**9. Physical Design and Timing Analysis:**

*   Floorplanning, partitioning, placement and routing optimization
*   Interconnect planning and synthesis
*   Clock network synthesis
*   Post layout and post-silicon optimization
*   Package/PCB/3D-IC placement and routing
*   Extraction, TSV, and package modeling
*   Deterministic/statistical timing analysis and optimization

**10. Design for Manufacturability/Reliability and Low Power:**

*   Reticle enhancement, lithography-related design and optimization
*   Resilience under manufacturing variation
*   Design for manufacturability, yield, and defect tolerance
*   Reliability, robustness, aging, and soft error analysis
*   Power modeling, analysis and simulation
*   Low-power design and optimization at circuit and system levels
*   Thermal aware design and dynamic thermal management
*   Energy harvesting and battery management
*   Signal/Power integrity, EM modeling and analysis

**11. Testing, Validation, Simulation, and Verification:**

*   ATPG, BIST and DFT
*   System test and 3D IC test, online test and fault tolerance
*   Memory test and repair
*   RTL and gate-leveling modeling, simulation, and verification
*   Circuit-level formal verification
*   Device/circuit-level simulation tool and methodology

**12. Hardware and Embedded Security:**

*   Hardware-based security
*   Detection and prevention of hardware trojans
*   Side-channel attacks, fault attacks and countermeasures
*   Design and CAD for security
*   Cyberphysical system security
*   Nanoelectronic security
*   Supply chain security and anti-counterfeiting
*   Security/privacy for LLM/AI/ML

**13. Emerging Devices, Technologies and Applications:**

*   EDA and circuits design for quantum and Ising computing
*   Nanotechnology, MEMS
*   Biomedical, biochip, and biodata processing
*   Edge, fog and cloud computing
*   Energy-storage/smart-grid/smart-building design and optimization
*   Automotive system design and optimization
*   New transistor/device and process technology

## Submission of Papers

*   **Deadline for Abstract submission:** July 5, 2024, 5 PM AOE
*   **Deadline for PDF uploading:** July 12, 2024, 5 PM AOE
*   **Announcement of accepted manuscript IDs:** September 2, 2024
*   **Notification of acceptance:** September 8, 2024
*   **Deadline for final version:** November 1, 2024, 5 PM AOE

## Submission Site

[https://tsys.jp/aspdac/cgi/submit.cgi](https://tsys.jp/aspdac/cgi/submit.cgi)

## Contact

Conference Secretariat: [aspdac2025@aspdac.com](mailto:aspdac2025@aspdac.com)"
"IEEE Automatic Speech Recognition and Understanding Workshop","ASRU","https://signalprocessingsociety.org/event-names/asru","None","None","","","","","Conference dates: December 6 - 10, 2025
Year: 2025
Location: Honolulu, HI, USA
City-State-Province: Honolulu, Hawaii
Country: United States
Continent: North America
Type: Offline
Conference Paper Submission Deadline: May 28, 2025
Topics: Automatic Speech Recognition, Speech Understanding","December 6 - 10, 2025","2025","Honolulu, HI, USA","Honolulu, Hawaii","United States","North America","Offline","{""Conference Paper Submission Deadline"":""May 28, 2025""}","{}","{}","{}","{}","Automatic Speech Recognition, Speech Understanding","","The 2025 IEEE Automatic Speech Recognition and Understanding Workshop (ASRU 2025) will be held in Honolulu, HI, USA, from December 6-10, 2025.","No call for papers available"
"Architectural Support for Programming Languages and Operating Systems","ASPLOS","https://www.asplos-conference.org/asplos2025/","https://www.asplos-conference.org/asplos2025/call-for-papers/","https://www.asplos-conference.org/asplos2025/call-for-papers/","","","","","Conference dates: March 30 - April 3, 2025
Year: 2025
Location: Rotterdam, The Netherlands
City-State-Province: Rotterdam
Country: Netherlands
Continent: Europe
Type: Offline
Topics: computer architecture, programming languages, operating systems, networking, storage","March 30 - April 3, 2025","2025","Rotterdam, The Netherlands","Rotterdam","Netherlands","Europe","Offline","{}","{}","{}","{}","{}","computer architecture, programming languages, operating systems, networking, storage","","ASPLOS 2025, the ACM International Conference on Architectural Support for Programming Languages and Operating Systems, is the premier academic forum for multidisciplinary computer systems research spanning hardware, software, and their interaction. It will be held in Rotterdam, the Netherlands from March 30 to April 3, 2025, co-located with EuroSys 2025.","No call for papers available"
"International Conference on Advanced and Trusted Computing (was International Conference on Autonomic and Trusted Computing)","ATC","https://www.ieee-smart-world.org/2025/","None","None","","","","","Information of ATC: No information available","","","","","","","","{}","{}","{}","{}","{}","","","",""
"International ACM SIGACCESS Conference on Computers and Accessibility","ASSETS","https://assets25.sigaccess.org/","https://assets25.sigaccess.org/Authors/Call%20for%20Papers","None","","","","","Conference dates: October 26 - 29, 2025
Year: 2025
Location: Denver, Colorado
City-State-Province: Denver, Colorado
Country: United States
Continent: North America
Type: Offline
Technical Papers: April 16, 2025
Posters and Demos: June 25, 2025
Workshops: June 11, 2025
Experience Reports: June 11, 2025
Mentoring: March 12, 2025
Doctoral Consortium: June 25, 2025
Student Research Competition: June 25, 2025
Conference Blog is now available: March 12, 2025
CfPs available for Posters/Demos, Mentoring, Experience Reports, and Doctoral Consortium: March 2, 2025
Volunteer opportunities are available!: October 30, 2024
ASSETS 2025 is announced: October 30, 2024
Topics: Computing and Accessibility, Design, Evaluation, Use, Education, People with Disabilities, Older Adults","October 26 - 29, 2025","2025","Denver, Colorado","Denver, Colorado","United States","North America","Offline","{""Technical Papers"":""April 16, 2025"",""Posters and Demos"":""June 25, 2025"",""Workshops"":""June 11, 2025"",""Experience Reports"":""June 11, 2025"",""Mentoring"":""March 12, 2025"",""Doctoral Consortium"":""June 25, 2025"",""Student Research Competition"":""June 25, 2025""}","{}","{}","{}","{""Conference Blog is now available"":""March 12, 2025"",""CfPs available for Posters/Demos, Mentoring, Experience Reports, and Doctoral Consortium"":""March 2, 2025"",""Volunteer opportunities are available!"":""October 30, 2024"",""ASSETS 2025 is announced"":""October 30, 2024""}","Computing and Accessibility, Design, Evaluation, Use, Education, People with Disabilities, Older Adults","","The 27th International ACM SIGACCESS Conference on Computers and Accessibility (ASSETS 2025) will take place in Denver, Colorado from October 26–29, 2025.  The conference is the premier forum for presenting research on the design, evaluation, use, and education related to computing for people with disabilities and older adults.","No call for papers available"
"Automation of Software Test","AST","https://conf.researchr.org/home/ast-2025","https://conf.researchr.org/home/ast-2025","None","","","","","Conference dates: April 26 - May 4, 2025
Year: 2025
Location: Ottawa, Ontario, Canada
City-State-Province: Ottawa, Ontario
Country: Canada
Continent: North America
Type: Offline
Submission deadline: November 30, 2024
Notification of acceptance: January 12, 2025
Camera ready deadline: February 5, 2025
Topics: Software test automation, Software Quality Assurance, Test case generation, Test oracles, Test stubs/mocks, Selection and prioritization criteria, Testing infrastructures, AI for Automated Software Testing, Testing of AI-based systems, Explainable AI for testing, Education in software testing, Automated software testing for sustainability, Codeless and low code test automation, Test Automation in Software Process and Evolution, DevOps, Agile, CI/CD flows, Test-driven development, Model-based testing, Formal methods for testing, Test case generation based on formal models, Theoretical foundations for test automation, Standardization of test languages, Security testing, Performance testing, Robustness testing, Functional testing, Interoperability testing, Conformance testing, Usability testing, User experience testing, Software simulation for testing, Testing of embedded systems, Testing of reactive systems, Testing of object-oriented systems, Test automation of large complex systems, Testing cyber physical systems, Testing cloud and web systems, Product line testing, Testing anomaly detectors, Testing metrics, Testing tools, Testing in different industry domains","April 26 - May 4, 2025","2025","Ottawa, Ontario, Canada","Ottawa, Ontario","Canada","North America","Offline","{""Submission deadline"":""November 30, 2024""}","{""Notification of acceptance"":""January 12, 2025""}","{""Camera ready deadline"":""February 5, 2025""}","{}","{}","Software test automation, Software Quality Assurance, Test case generation, Test oracles, Test stubs/mocks, Selection and prioritization criteria, Testing infrastructures, AI for Automated Software Testing, Testing of AI-based systems, Explainable AI for testing, Education in software testing, Automated software testing for sustainability, Codeless and low code test automation, Test Automation in Software Process and Evolution, DevOps, Agile, CI/CD flows, Test-driven development, Model-based testing, Formal methods for testing, Test case generation based on formal models, Theoretical foundations for test automation, Standardization of test languages, Security testing, Performance testing, Robustness testing, Functional testing, Interoperability testing, Conformance testing, Usability testing, User experience testing, Software simulation for testing, Testing of embedded systems, Testing of reactive systems, Testing of object-oriented systems, Test automation of large complex systems, Testing cyber physical systems, Testing cloud and web systems, Product line testing, Testing anomaly detectors, Testing metrics, Testing tools, Testing in different industry domains","","The 6th ACM/IEEE International Conference on Automation of Software Test (AST 2025) will take place from April 26 to May 4, 2025, in Ottawa, Ontario, Canada, co-located with ICSE 2025. The conference promotes high-quality research contributions on methods for software test automation and original case studies reporting practices in this field.  The theme for 2025 is “Adapting test automation to the AI era including sustainability and emerging challenges”.","# AST 2025: Call for Papers

The 6th ACM/IEEE International Conference on Automation of Software Test (AST 2025) will be held in **Ottawa, Ontario, Canada from April 26 to May 4, 2025**, co-located with ICSE 2025.

## Scope

Software pervasiveness in both industry and digital society, as well as the proliferation of Artificial Intelligence (AI) technologies are continuously leading to emerging needs from both software producers and consumers.  Software testing automation is a discipline that has produced noteworthy research in the last decades. The search for solutions to automatically test any concept of software is critical, and it encompasses several areas: from the generation of the test cases, test oracles, test stubs/mocks; through the definition of selection and prioritization criteria; up to the engineering of infrastructures governing the execution of testing sessions locally or remotely in the cloud.

The Automation of Software Test (AST) conference continues with a long record of international scientific forums on methods and solutions to automate software testing.  The conference promotes high-quality research contributions on methods for software test automation, and original case studies reporting practices in this field. 

Our theme for this year is “Adapting test automation to the AI era including sustainability and emerging challenges” with special sessions on test automation for AI, sustainability, and AI testing education and training.

## Topics of Interest

Submissions on the AST 2025 theme are especially encouraged, but papers on other topics relevant to the automation of software tests are also welcome. Topics of interest include, but are not limited to:

*   AI for Automated Software Testing
*   Testing of AI-based systems
*   Effective testing through explainable AI
*   Education to software testing with the advent of AI-based technology
*   Automated software testing for sustainability, resource efficiency, energy consumption
*   Codeless and low code test automation
*   Test Automation in Software Process and Evolution, DevOps, Agile, CI/CD flows
*   Test-driven development
*   Model-based testing
*   Formal methods, model checking and theories for testing and test automation
*   Test case generation based on formal, semi-formal and AI models
*   Theoretical foundations and methods for test automation
*   Standardization of test languages, processes and tools
*   Security, performance, and robustness testing
*   Functional, interoperability, and conformance testing
*   Usability and user experience testing
*   Software simulation and automated software testing
*   Testing of embedded, reactive and object-oriented systems
*   Test automation of large complex systems
*   Testing cyber physical systems
*   Testing cloud and web systems and services
*   Product line testing
*   Testing anomaly detectors
*   Metrics for testing - test effectiveness, efficiency, test coverage
*   Testing tools
*   Testing in different industry domains including healthcare, energy, finance, etc.

## Important Dates

*   **Submission:** November 9, 2024
*   **Notification:** January 12, 2025
*   **Final version:** January 31, 2025
*   **Conference:** April 28-29, 2025

## Submission Details

Three types of submissions are invited for both research and industry:

*   Regular Papers (up to 10 pages plus 2 additional pages of references)
*   Short Papers (up to 4 pages plus 1 additional page of references)
*   Industrial Abstracts (up to 2 pages for all materials)

The submission website is: [https://ast2025.hotcrp.com/](https://ast2025.hotcrp.com/)

## Organizers

*   Andy Zaidman, Delft University of Technology, The Netherlands (General Chair)
*   Francesca Lonetti, ISTI-CNR, Italy (Program Co-Chair)
*   Ina Schieferdecker, Technische Universität Berlin, Germany (Program Co-Chair)
*   Rajesh Subramanyan, Stealth Startup & University of Washington, USA (Program Co-Chair)"
"Australian Data Mining Conference","AusDM","https://ausdm.org/","None","None","","","","","Conference dates: December 2025
Year: 2025
Location: Australia
Continent: Oceania
Type: Offline","December 2025","2025","Australia","","","Oceania","Offline","{}","{}","{}","{}","{}","","","The Australasian Data Science and Machine Learning Conference (AusDM) is devoted to the art and science of data science and machine learning. The AusDM 2025 conference will be held in Australia in December 2025 and brings together Machine Learning researchers and Data Science practitioners to share and learn of research and progress in the local context and to hear of new breakthroughs in data science and machine learning and their applications.","No call for papers available"
"International Symposium on Automated Technology for Verification and Analysis","ATVA","https://conf.researchr.org/home/atva-2025","None","None","","","","","Conference dates: October 27 - 31, 2025
Year: 2025
Location: International Institute of Information Technology, Bangalore, India
City-State-Province: Bengaluru
Country: India
Continent: Asia
Type: Offline
Research Papers Abstract submission deadline: April 11, 2025
Research Papers Paper submission deadline: April 18, 2025
Artifacts Tool paper artifact submission deadline: April 25, 2025
Artifacts Regular paper artifact submission deadline: June 28, 2025
Research Papers Author response period: June 10 - 13, 2025
Topics: Automated analysis, verification, and synthesis","October 27 - 31, 2025","2025","International Institute of Information Technology, Bangalore, India","Bengaluru","India","Asia","Offline","{""Research Papers Abstract submission deadline"":""April 11, 2025"",""Research Papers Paper submission deadline"":""April 18, 2025"",""Artifacts Tool paper artifact submission deadline"":""April 25, 2025"",""Artifacts Regular paper artifact submission deadline"":""June 28, 2025""}","{""Research Papers Author response period"":""June 10 - 13, 2025""}","{}","{}","{}","Automated analysis, verification, and synthesis","","ATVA 2025 is the 23rd edition of the International Symposium on Automated Technology for Verification and Analysis. The conference will take place during October 27-31, 2025, in Bangalore, India, and is co-located with the 23rd Asian Symposium on Programming Languages and Systems (APLAS 2025).","No call for papers available"
"International Conference on Advanced Technologies For Signal & Image Processing","ATSIP","http://www.lab-atms.com/atsip_2024.php","http://www.lab-atms.com/events/atsip2024/paper_submission.php","None","","","","","Conference dates: July 11 - 14, 2024
Year: 2024
Location: Sousse, Tunisia
City-State-Province: Sousse
Country: Tunisia
Continent: Africa
Type: Hybrid
Submission of Regular Papers: May 05, 2024
Notification of Paper Acceptance: May 30, 2024
Revised Paper Upload Deadline: June 15, 2024
Author's Registration Deadline: June 15, 2024
Topics: Medical signal/image & Computer Aided Diagnosis, Remote Sensing and Assimilation, Image Video, Speech Audio Processing, AI for Advanced Technologies, IoT & Embedded Systems, RF Applications, New Technologies for Communications Networking, Big Data, Cloud Computing Applications, Advanced Technologies for Security","July 11 - 14, 2024","2024","Sousse, Tunisia","Sousse","Tunisia","Africa","Hybrid","{""Submission of Regular Papers"":""May 05, 2024""}","{""Notification of Paper Acceptance"":""May 30, 2024""}","{""Revised Paper Upload Deadline"":""June 15, 2024""}","{""Author's Registration Deadline"":""June 15, 2024""}","{}","Medical signal/image & Computer Aided Diagnosis, Remote Sensing and Assimilation, Image Video, Speech Audio Processing, AI for Advanced Technologies, IoT & Embedded Systems, RF Applications, New Technologies for Communications Networking, Big Data, Cloud Computing Applications, Advanced Technologies for Security","","The 7th IEEE ATSIP International Ranked Conference on Advanced Technologies, Signal and Image Processing (ATSIP'2024) will be held from July 11-14, 2024, in Sousse, Tunisia.  The conference aims to provide a high-level international forum for researchers, engineers, and scientists to present and discuss recent advances and applications in the fields of Advanced Technologies, including Signal and Image Processing applications.","# ATSIP 2024: Call for Papers

The ATSIP Executive Committee is pleased to announce the 7th IEEE ATSIP edition International Ranked Conference on Advanced Technologies, Signal and Image Processing (ATSIP’2024).

## Conference Goal

ATSIP’2024 aims to provide a high-level international forum for researchers, engineers, and scientists from around the world to present and discuss recent advances and applications in the fields of Advanced Technologies, including Signal and Image Processing applications.

## Main Topics

Main topics include, but are not limited to:

*   **Medical signal/image & Computer Aided Diagnosis**
*   **Remote Sensing and Assimilation**
*   **Image Video, Speech Audio Processing**
*   **AI for Advanced Technologies**
*   **IoT & Embedded Systems, RF Applications**
*   **New Technologies for Communications Networking**
*   **Big Data, Cloud Computing Applications**
*   **Advanced Technologies for Security**

## Special Sessions

Besides regular sessions, special sessions will be held on the following topics:

*   AI-Assisted Energy Harvesting Techniques and its Applications in Wireless Sensor Networks
*   Medical signal/image and cognitive neuroscience
*   Artificial Intelligence in Neurodegenerative Diseases: Advances and Prospects
*   Challenges of artificial intelligence for control and navigation of robots
*   Recent trends in signal and image processing toward diseases and pattern identification
*   Blockchain for Sustainability and Industrial Resilience
*   Recent Advances in Emotion AI
*   Artificial Intelligence 'AI' for Cardio Vascular Diseases 'CVDs'
*   Advances and Challenges in Network and Communication
*   Advanced AI Models for Biometrics
*   Artificial Intelligence for remote sensing images

## Paper Submission

Authors are invited to submit full-length papers of no more than six pages, including results, figures, and references. Papers will be accepted only by electronic submission through the conference website: [http://www.lab-atms.com/events/atsip2024/paper_submission.php](http://www.lab-atms.com/events/atsip2024/paper_submission.php)

Submissions must be original and should not have been published previously or be under consideration for publication while being evaluated for this conference.

## Selected Papers and Best Papers

Best papers will be awarded and extended for submission and consideration for publication in several eminent journals.

## Important Dates

*   Submission of Regular Papers: May 05, 2024
*   Notification of Paper Acceptance: May 30, 2024
*   Revised Paper Upload Deadline: June 15, 2024
*   Author's Registration Deadline: June 15, 2024"
"Workshop on Algorithmic Approaches for Transportation Modelling, Optimization, and Systems","ATMOS","https://algo-conference.org/2024/atmos/","None","None","","","","","Conference dates: September 5 - 6, 2024
Year: 2024
Location: Royal Holloway, University of London, Egham, United Kingdom
City-State-Province: Egham, Surrey
Country: United Kingdom
Continent: Europe
Type: Offline
Submission deadline: July 7, 2024
Notification to authors: August 7, 2024
Camera ready submission: August 14, 2024
Topics: Congestion Modelling and Reduction, Crew and Duty Scheduling, Demand Forecasting, Delay Management, Design of Pricing Systems, Electromobility, Infrastructure Planning, Intelligent Transportation Systems, Models for User Behaviour, Line Planning, Mobile Applications for Transport, Mobility-as-a-Service, Multi-modal Transport Optimization, Route Planning in Road and Public Transit Networks, Rostering, Timetable Generation, Tourist Tour Planning, Traffic Guidance, Vehicle Routing, Vehicle Scheduling","September 5 - 6, 2024","2024","Royal Holloway, University of London, Egham, United Kingdom","Egham, Surrey","United Kingdom","Europe","Offline","{""Submission deadline"":""July 7, 2024""}","{""Notification to authors"":""August 7, 2024""}","{""Camera ready submission"":""August 14, 2024""}","{}","{}","Congestion Modelling and Reduction, Crew and Duty Scheduling, Demand Forecasting, Delay Management, Design of Pricing Systems, Electromobility, Infrastructure Planning, Intelligent Transportation Systems, Models for User Behaviour, Line Planning, Mobile Applications for Transport, Mobility-as-a-Service, Multi-modal Transport Optimization, Route Planning in Road and Public Transit Networks, Rostering, Timetable Generation, Tourist Tour Planning, Traffic Guidance, Vehicle Routing, Vehicle Scheduling","","The 24th Symposium on Algorithmic Approaches for Transportation Modelling, Optimization, and Systems (ATMOS 2024) will be part of ALGO 2024, taking place at Royal Holloway, University of London from September 5-6, 2024. ATMOS brings together researchers and practitioners interested in algorithmic methods and models for transport optimization.","# ATMOS 2024: Call for Papers

The 24th Symposium on Algorithmic Approaches for Transportation Modelling, Optimization, and Systems (ATMOS 2024) will take place on **September 5-6, 2024**, at **Royal Holloway, University of London in Egham, United Kingdom**.

## Topics

The symposium welcomes papers addressing the following topics:

*   Congestion Modelling and Reduction
*   Crew and Duty Scheduling
*   Demand Forecasting
*   Delay Management
*   Design of Pricing Systems
*   Electromobility
*   Infrastructure Planning
*   Intelligent Transportation Systems
*   Models for User Behaviour
*   Line Planning
*   Mobile Applications for Transport
*   Mobility-as-a-Service
*   Multi-modal Transport Optimization
*   Route Planning in Road and Public Transit Networks
*   Rostering
*   Timetable Generation
*   Tourist Tour Planning
*   Traffic Guidance
*   Vehicle Routing
*   Vehicle Scheduling

The symposium also welcomes papers applying and advancing the following techniques:

*   Algorithmic Game Theory
*   Approximation Algorithms
*   Combinatorial Optimization
*   Graph and Network Algorithms
*   Heuristics and Meta-heuristics
*   Mathematical Programming
*   Methods for the Integration of Planning Stages
*   Online and Real-time Algorithms
*   Simulation Tools
*   Stochastic and Robust Optimization

## Submission Guidelines

Authors are invited to submit high-quality manuscripts reporting original unpublished research. Simultaneous submission to other journals or conferences with published proceedings is not allowed.

Submissions must be in the form of a single PDF file prepared using the LaTeX OASIcs style file and must be submitted electronically via the EasyChair submission system.

ATMOS 2024 accepts two types of submissions:

### (a) Regular Paper Submissions

A regular paper submission should not exceed 12 pages including title page and abstract, but excluding references and an optional appendix. Regular papers will be allotted up to 20 pages in the proceedings.

### (b) Short Paper Submissions

A short paper submission should have at least 4 and at most 6 pages. Short papers will be allotted up to 6 pages in the proceedings.

## Proceedings

The proceedings will be published on the Dagstuhl Open Access Series in Informatics (OASIcs) publication service.

## Important Dates

*   **Submission deadline:** July 7, 2024 (AoE)
*   **Notification to authors:** August 7, 2024
*   **Camera ready submission:** August 14, 2024
*   **Symposium:** September 5-6, 2024

## Contact

All questions about submissions should be emailed to the PC co-chairs:

*   Paul Bouman: bouman_A T_ese.eur.nl
*   Spyros Kontogiannis: spyridon.kontogiannis_A T_upatras.gr"
